ankle_1,ankle_2,ankle_3,ankle_4,ankle_5,ankle_6,ankle_7,ankle_8,hip2_1,hip2_2,hip2_3,hip2_4,hip2_5,hip2_6,hip2_7,hip2_8,hip_1,hip_2,hip_3,hip_4,hip_5,hip_6,hip_7,hip_8,knee_1,knee_2,knee_3,knee_4,knee_5,knee_6,knee_7,knee_8,ankle_1,ankle_2,ankle_3,ankle_4,ankle_5,ankle_6,ankle_7,ankle_8,hip2_1,hip2_2,hip2_3,hip2_4,hip2_5,hip2_6,hip2_7,hip2_8,hip_1,hip_2,hip_3,hip_4,hip_5,hip_6,hip_7,hip_8,knee_1,knee_2,knee_3,knee_4,knee_5,knee_6,knee_7,knee_8,ankle_1,ankle_2,ankle_3,ankle_4,ankle_5,ankle_6,ankle_7,ankle_8,hip2_1,hip2_2,hip2_3,hip2_4,hip2_5,hip2_6,hip2_7,hip2_8,hip_1,hip_2,hip_3,hip_4,hip_5,hip_6,hip_7,hip_8,knee_1,knee_2,knee_3,knee_4,knee_5,knee_6,knee_7,knee_8,ankle_1,ankle_2,ankle_3,ankle_4,ankle_5,ankle_6,ankle_7,ankle_8,hip2_1,hip2_2,hip2_3,hip2_4,hip2_5,hip2_6,hip2_7,hip2_8,hip_1,hip_2,hip_3,hip_4,hip_5,hip_6,hip_7,hip_8,knee_1,knee_2,knee_3,knee_4,knee_5,knee_6,knee_7,knee_8,t
-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000739,-0.000739,-0.000739,-0.000739,-0.000739,-0.000739,-0.000739,-0.000739,-0.000739,-0.000739,-0.000739,-0.000739,-0.000739,-0.000739,-0.000739,-0.000739,-0.000739,-0.000739,-0.000739,-0.000739,-0.000739,-0.000739,-0.000739,-0.000739,-0.000739,-0.000739,-0.000739,-0.000739,-0.000739,-0.000739,-0.000739,-0.000739,-0.000740,-0.000740,-0.000740,-0.000740,-0.000740,-0.000740,-0.000740,-0.000740,-0.000740,-0.000740,-0.000740,-0.000740,-0.000740,-0.000740,-0.000740,-0.000740,-0.000740,-0.000740,-0.000740,-0.000740,-0.000740,-0.000740,-0.000740,-0.000740,-0.000740,-0.000740,-0.000740,-0.000740,-0.000740,-0.000740,-0.000740,-0.000740,-0.000702,-0.000702,-0.000702,-0.000702,-0.000702,-0.000702,-0.000702,-0.000702,-0.000702,-0.000702,-0.000702,-0.000702,-0.000702,-0.000702,-0.000702,-0.000702,-0.000702,-0.000702,-0.000702,-0.000702,-0.000702,-0.000702,-0.000702,-0.000702,-0.000702,-0.000702,-0.000702,-0.000702,-0.000702,-0.000702,-0.000702,-0.000702,-0.000801
-0.000755,-0.000755,-0.000755,-0.000755,-0.000755,-0.000755,-0.000755,-0.000755,-0.000755,-0.000755,-0.000755,-0.000755,-0.000755,-0.000755,-0.000755,-0.000755,-0.000755,-0.000755,-0.000755,-0.000755,-0.000755,-0.000755,-0.000755,-0.000755,-0.000755,-0.000755,-0.000755,-0.000755,-0.000755,-0.000755,-0.000755,-0.000755,-0.000754,-0.000754,-0.000754,-0.000754,-0.000754,-0.000754,-0.000754,-0.000754,-0.000754,-0.000754,-0.000754,-0.000754,-0.000754,-0.000754,-0.000754,-0.000754,-0.000754,-0.000754,-0.000754,-0.000754,-0.000754,-0.000754,-0.000754,-0.000754,-0.000754,-0.000754,-0.000754,-0.000754,-0.000754,-0.000754,-0.000754,-0.000754,-0.000759,-0.000759,-0.000759,-0.000759,-0.000759,-0.000759,-0.000759,-0.000759,-0.000759,-0.000759,-0.000759,-0.000759,-0.000759,-0.000759,-0.000759,-0.000759,-0.000759,-0.000759,-0.000759,-0.000759,-0.000759,-0.000759,-0.000759,-0.000759,-0.000759,-0.000759,-0.000759,-0.000759,-0.000759,-0.000759,-0.000759,-0.000759,-0.000030,-0.000030,-0.000030,-0.000030,-0.000030,-0.000030,-0.000030,-0.000030,-0.000030,-0.000030,-0.000030,-0.000030,-0.000030,-0.000030,-0.000030,-0.000030,-0.000030,-0.000030,-0.000030,-0.000030,-0.000030,-0.000030,-0.000030,-0.000030,-0.000030,-0.000030,-0.000030,-0.000030,-0.000030,-0.000030,-0.000030,-0.000030,-0.000036
0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000060,0.000060,0.000060,0.000060,0.000060,0.000060,0.000060,0.000060,0.000060,0.000060,0.000060,0.000060,0.000060,0.000060,0.000060,0.000060,0.000060,0.000060,0.000060,0.000060,0.000060,0.000060,0.000060,0.000060,0.000060,0.000060,0.000060,0.000060,0.000060,0.000060,0.000060,0.000060,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000063,0.000063,0.000063,0.000063,0.000063,0.000063,0.000063,0.000063,0.000063,0.000063,0.000063,0.000063,0.000063,0.000063,0.000063,0.000063,0.000063,0.000063,0.000063,0.000063,0.000063,0.000063,0.000063,0.000063,0.000063,0.000063,0.000063,0.000063,0.000063,0.000063,0.000063,0.000063,0.000062
0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,-0.003093,-0.003093,-0.003093,-0.003093,-0.003093,-0.003093,-0.003093,-0.003093,-0.003093,-0.003093,-0.003093,-0.003093,-0.003093,-0.003093,-0.003093,-0.003093,-0.003093,-0.003093,-0.003093,-0.003093,-0.003093,-0.003093,-0.003093,-0.003093,-0.003093,-0.003093,-0.003093,-0.003093,-0.003093,-0.003093,-0.003093,-0.003093,-0.003128,-0.003128,-0.003128,-0.003128,-0.003128,-0.003128,-0.003128,-0.003128,-0.003128,-0.003128,-0.003128,-0.003128,-0.003128,-0.003128,-0.003128,-0.003128,-0.003128,-0.003128,-0.003128,-0.003128,-0.003128,-0.003128,-0.003128,-0.003128,-0.003128,-0.003128,-0.003128,-0.003128,-0.003128,-0.003128,-0.003128,-0.003128,-0.003052,-0.003052,-0.003052,-0.003052,-0.003052,-0.003052,-0.003052,-0.003052,-0.003052,-0.003052,-0.003052,-0.003052,-0.003052,-0.003052,-0.003052,-0.003052,-0.003052,-0.003052,-0.003052,-0.003052,-0.003052,-0.003052,-0.003052,-0.003052,-0.003052,-0.003052,-0.003052,-0.003052,-0.003052,-0.003052,-0.003052,-0.003052,-0.003018
-0.003082,-0.003082,-0.003082,-0.003082,-0.003082,-0.003082,-0.003082,-0.003082,-0.003082,-0.003082,-0.003082,-0.003082,-0.003082,-0.003082,-0.003082,-0.003082,-0.003082,-0.003082,-0.003082,-0.003082,-0.003082,-0.003082,-0.003082,-0.003082,-0.003082,-0.003082,-0.003082,-0.003082,-0.003082,-0.003082,-0.003082,-0.003082,-0.003103,-0.003103,-0.003103,-0.003103,-0.003103,-0.003103,-0.003103,-0.003103,-0.003103,-0.003103,-0.003103,-0.003103,-0.003103,-0.003103,-0.003103,-0.003103,-0.003103,-0.003103,-0.003103,-0.003103,-0.003103,-0.003103,-0.003103,-0.003103,-0.003103,-0.003103,-0.003103,-0.003103,-0.003103,-0.003103,-0.003103,-0.003103,-0.003105,-0.003105,-0.003105,-0.003105,-0.003105,-0.003105,-0.003105,-0.003105,-0.003105,-0.003105,-0.003105,-0.003105,-0.003105,-0.003105,-0.003105,-0.003105,-0.003105,-0.003105,-0.003105,-0.003105,-0.003105,-0.003105,-0.003105,-0.003105,-0.003105,-0.003105,-0.003105,-0.003105,-0.003105,-0.003105,-0.003105,-0.003105,-0.003104,-0.003104,-0.003104,-0.003104,-0.003104,-0.003104,-0.003104,-0.003104,-0.003104,-0.003104,-0.003104,-0.003104,-0.003104,-0.003104,-0.003104,-0.003104,-0.003104,-0.003104,-0.003104,-0.003104,-0.003104,-0.003104,-0.003104,-0.003104,-0.003104,-0.003104,-0.003104,-0.003104,-0.003104,-0.003104,-0.003104,-0.003104,-0.002348
-0.002280,-0.002280,-0.002280,-0.002280,-0.002280,-0.002280,-0.002280,-0.002280,-0.002280,-0.002280,-0.002280,-0.002280,-0.002280,-0.002280,-0.002280,-0.002280,-0.002280,-0.002280,-0.002280,-0.002280,-0.002280,-0.002280,-0.002280,-0.002280,-0.002280,-0.002280,-0.002280,-0.002280,-0.002280,-0.002280,-0.002280,-0.002280,-0.002299,-0.002299,-0.002299,-0.002299,-0.002299,-0.002299,-0.002299,-0.002299,-0.002299,-0.002299,-0.002299,-0.002299,-0.002299,-0.002299,-0.002299,-0.002299,-0.002299,-0.002299,-0.002299,-0.002299,-0.002299,-0.002299,-0.002299,-0.002299,-0.002299,-0.002299,-0.002299,-0.002299,-0.002299,-0.002299,-0.002299,-0.002299,-0.002266,-0.002266,-0.002266,-0.002266,-0.002266,-0.002266,-0.002266,-0.002266,-0.002266,-0.002266,-0.002266,-0.002266,-0.002266,-0.002266,-0.002266,-0.002266,-0.002266,-0.002266,-0.002266,-0.002266,-0.002266,-0.002266,-0.002266,-0.002266,-0.002266,-0.002266,-0.002266,-0.002266,-0.002266,-0.002266,-0.002266,-0.002266,-0.002388,-0.002388,-0.002388,-0.002388,-0.002388,-0.002388,-0.002388,-0.002388,-0.002388,-0.002388,-0.002388,-0.002388,-0.002388,-0.002388,-0.002388,-0.002388,-0.002388,-0.002388,-0.002388,-0.002388,-0.002388,-0.002388,-0.002388,-0.002388,-0.002388,-0.002388,-0.002388,-0.002388,-0.002388,-0.002388,-0.002388,-0.002388,-0.002329
-0.002346,-0.002346,-0.002346,-0.002346,-0.002346,-0.002346,-0.002346,-0.002346,-0.002346,-0.002346,-0.002346,-0.002346,-0.002346,-0.002346,-0.002346,-0.002346,-0.002346,-0.002346,-0.002346,-0.002346,-0.002346,-0.002346,-0.002346,-0.002346,-0.002346,-0.002346,-0.002346,-0.002346,-0.002346,-0.002346,-0.002346,-0.002346,-0.002342,-0.002342,-0.002342,-0.002342,-0.002342,-0.002342,-0.002342,-0.002342,-0.002342,-0.002342,-0.002342,-0.002342,-0.002342,-0.002342,-0.002342,-0.002342,-0.002342,-0.002342,-0.002342,-0.002342,-0.002342,-0.002342,-0.002342,-0.002342,-0.002342,-0.002342,-0.002342,-0.002342,-0.002342,-0.002342,-0.002342,-0.002342,-0.000006,-0.000006,-0.000006,-0.000006,-0.000006,-0.000006,-0.000006,-0.000006,-0.000006,-0.000006,-0.000006,-0.000006,-0.000006,-0.000006,-0.000006,-0.000006,-0.000006,-0.000006,-0.000006,-0.000006,-0.000006,-0.000006,-0.000006,-0.000006,-0.000006,-0.000006,-0.000006,-0.000006,-0.000006,-0.000006,-0.000006,-0.000006,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000011
-0.000016,-0.000016,-0.000016,-0.000016,-0.000016,-0.000016,-0.000016,-0.000016,-0.000016,-0.000016,-0.000016,-0.000016,-0.000016,-0.000016,-0.000016,-0.000016,-0.000016,-0.000016,-0.000016,-0.000016,-0.000016,-0.000016,-0.000016,-0.000016,-0.000016,-0.000016,-0.000016,-0.000016,-0.000016,-0.000016,-0.000016,-0.000016,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005
-0.000001,-0.000001,-0.000001,-0.000001,-0.000001,-0.000001,-0.000001,-0.000001,-0.000001,-0.000001,-0.000001,-0.000001,-0.000001,-0.000001,-0.000001,-0.000001,-0.000001,-0.000001,-0.000001,-0.000001,-0.000001,-0.000001,-0.000001,-0.000001,-0.000001,-0.000001,-0.000001,-0.000001,-0.000001,-0.000001,-0.000001,-0.000001,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,-0.000003,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000000
0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000023,-0.000023,-0.000023,-0.000023,-0.000023,-0.000023,-0.000023,-0.000023,-0.000023,-0.000023,-0.000023,-0.000023,-0.000023,-0.000023,-0.000023,-0.000023,-0.000023,-0.000023,-0.000023,-0.000023,-0.000023,-0.000023,-0.000023,-0.000023,-0.000023,-0.000023,-0.000023,-0.000023,-0.000023,-0.000023,-0.000023,-0.000023,-0.000027
